pmid,file_source,pubmed,mid,pmc,doi,pii,pmcid,other_medline,other_sici
19622817,pubmed_0_to_99.xml,19622817,,,10.1001/jama.2009.1064,302/4/385,,,
12709467,pubmed_0_to_99.xml,12709467,,,10.1001/jama.289.16.2094,289/16/2094,,,
11506396,pubmed_0_to_99.xml,11506396,,,10.1002/ana.1054,,,,
9678311,pubmed_0_to_99.xml,9678311,,,10.1001/archneur.55.7.937,,,,
7574461,pubmed_0_to_99.xml,7574461,,,10.1002/ana.410380413,,,,
8748926,pubmed_0_to_99.xml,8748926,,,10.1007/BF02815140,,,,
6610841,pubmed_0_to_99.xml,6610841,,,10.1212/wnl.34.7.939,,,,
15324367,pubmed_0_to_99.xml,15324367,,,10.1111/j.1365-2796.2004.01380.x,JIM1380,,,
10190820,pubmed_0_to_99.xml,10190820,,,10.1001/archneur.56.3.303,,,,
2771064,pubmed_0_to_99.xml,2771064,,,10.1212/wnl.39.9.1159,,,,
8232972,pubmed_0_to_99.xml,8232972,,,10.1212/wnl.43.11.2412-a,,,,
19260027,pubmed_0_to_99.xml,19260027,NIHMS146886,PMC2763631,10.1002/ana.21559,,,,
18343778,pubmed_0_to_99.xml,18343778,NIHMS101554,PMC2688655,10.1309/W01Y0B808EMEH12L,C7L5K77N39H431M5,,,
15522251,pubmed_0_to_99.xml,15522251,,,10.1016/j.biopsych.2004.07.021,S0006-3223(04)00855-8,,,
9629852,pubmed_0_to_99.xml,9629852,,,10.1002/ana.410430617,,,,
9641683,pubmed_0_to_99.xml,9641683,,,10.1038/31508,,,,
8810256,pubmed_0_to_99.xml,8810256,,,10.1126/science.274.5284.99,,,,
7550356,pubmed_0_to_99.xml,7550356,,,10.1038/ng1095-219,,,,
9636220,pubmed_0_to_99.xml,9636220,,PMC22742,10.1073/pnas.95.13.7737,,,,
7651536,pubmed_0_to_99.xml,7651536,,,10.1038/376775a0,,,,
2111584,pubmed_0_to_99.xml,2111584,,,10.1126/science.2111584,,,,
1971458,pubmed_0_to_99.xml,1971458,,,10.1126/science.1971458,,,,
1302033,pubmed_0_to_99.xml,1302033,,,10.1038/ng0892-345,,,,
18300294,pubmed_0_to_99.xml,18300294,,,10.1002/ana.21321,,,,
11409420,pubmed_0_to_99.xml,11409420,,,10.1002/ana.1009,,,,
1925564,pubmed_0_to_99.xml,1925564,,,10.1126/science.1925564,,,,
1671712,pubmed_0_to_99.xml,1671712,,,10.1038/349704a0,,,,
7638622,pubmed_0_to_99.xml,7638622,,,10.1126/science.7638622,,,,
11198283,pubmed_0_to_99.xml,11198283,,,10.1002/1531-8249(200101)49:1<125::aid-ana21>3.0.co;2-1,,,,
23477989,pubmed_0_to_99.xml,23477989,,,10.1016/S1474-4422(13)70044-9,S1474-4422(13)70044-9,,,
21514248,pubmed_0_to_99.xml,21514248,NIHMS329556,PMC3220946,10.1016/j.jalz.2011.03.003,S1552-5260(11)00099-9,,,
